Company Name,Commodity,ICP Type,Country,City/State,Website,Contact Name,Contact Title,Email,Phone,LinkedIn URL,Source,Priority,Notes
Dandelion Chocolate,cocoa,indie brand,USA,"San Francisco, CA",dandelionchocolate.com,,,,(415) 349-0942,linkedin.com/company/dandelion-chocolate,web research,Tier 2,"Very selective, boots-on-ground sourcing, 2-ingredient chocolate only. ~$5M revenue, ~50 employees"
Taza Chocolate,cocoa,indie brand,USA,"Somerville, MA",tazachocolate.com,,,info@tazachocolate.com,(617) 623-0804,linkedin.com/company/taza-chocolate,web research,Tier 1,Pays $500+ above commodity price. First third-party certified Direct Trade program. USDA organic. ~$10M revenue. wholesale@tazachocolate.com for wholesale
Askinosie Chocolate,cocoa,indie brand,USA,"Springfield, MO",askinosie.com,,,info@askinosie.com,(417) 862-9900,linkedin.com/company/askinosie-chocolate,web research,Tier 2,2-year vetting process. Accepts samples (fermented & dried only). Profit shares with farmers. Will NOT add 4th origin for at least 1 year
Raaka Chocolate,cocoa,indie brand,USA,"Brooklyn, NY",raakachocolate.com,,,info@raakachocolate.com,(855) 255-3354,linkedin.com/company/raaka-chocolate,web research,Tier 1,Unroasted virgin chocolate. orders@raakachocolate.com for wholesale. ~$2-5M
Theo Chocolate,cocoa,indie brand,USA,"Seattle, WA",theochocolate.com,Etienne Patout,CEO,,(206) 632-5100,linkedin.com/company/theo-chocolate-inc-,web research,Tier 1,"First organic Fair Trade bean-to-bar factory in North America. ~$20M revenue, ~100 employees. Email format: FLast@theochocolate.com"
Fruition Chocolate Works,cocoa,indie brand,USA,"Shokan, NY",fruitionchocolateworks.com,,,,(845) 657-6717,linkedin.com/company/fruition-chocolate-works,web research,Tier 2,Travels to farms personally. Organic and Direct Trade focus. Artisan micro-batch
Guittard Chocolate Company,cocoa,manufacturer,USA,"Burlingame, CA",guittard.com,,,,(800) 468-2462,linkedin.com/company/guittard-chocolate-company,web research,Tier 1,~$100M+ revenue. Oldest family-owned US chocolate company (est. 1868). Important B2B account. Supplies bakers and chocolatiers
Maverick Chocolate Co.,cocoa,indie brand,USA,"Cincinnati, OH",maverickchocolate.com,,,,,,web research,Tier 2,Strong direct-from-origin ethos. Small batch craft maker
Ritual Chocolate,cocoa,indie brand,USA,"Park City, UT",ritualchocolate.com,,,,,,web research,Tier 2,Craft micro-maker. Single-origin cocoa beans
Dick Taylor Craft Chocolate,cocoa,indie brand,USA,"Eureka, CA",dicktaylorchocolate.com,,,,,,web research,Tier 2,Small craft maker. Direct trade cocoa beans
Goodnow Farms Chocolate,cocoa,indie brand,USA,"Sudbury, MA",goodnowfarms.com,,,,,,web research,Tier 2,"Small family operation, est. 2015. Single-origin cocoa beans"
Amano Artisan Chocolate,cocoa,indie brand,USA,"Orem, UT",amanochocolate.com,,,,,,web research,Tier 2,Top-50 US bean-to-bar maker
Solstice Chocolate,cocoa,indie brand,USA,"Salt Lake City, UT",solsticechocolate.com,,,,,,web research,Tier 2,Top-50 US bean-to-bar maker
Patric Chocolate,cocoa,indie brand,USA,"Columbia, MO",,,,,,,web research,Tier 2,Top-50 US bean-to-bar maker
French Broad Chocolates,cocoa,indie brand,USA,"Asheville, NC",frenchbroadchocolates.com,,,,,,web research,Tier 2,Top-50 US bean-to-bar maker
LetterPress Chocolate,cocoa,indie brand,USA,"Los Angeles, CA",letterpresschocolate.com,,,,,,web research,Tier 2,Top-50 US bean-to-bar maker
Nuance Chocolate,cocoa,indie brand,USA,"Fort Collins, CO",nuancechocolate.com,,,,,,web research,Tier 2,Top-50 US bean-to-bar maker
Daarnhouwer & Co. B.V.,cocoa,importer,Netherlands,Zaandam,daarnhouwer.com,,,cocoa@daarnhouwer.nl,+31 75 612 63 10,,web research,Tier 1,"100+ years in business. Fine flavor AND conventional, 40+ types from ~30 origins. FCIA member. Also has Indonesia and Ethiopia offices"
